data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,dimessi_guariti,deceduti,totale_casi,ingressi_terapia_intensiva,variazione_totale_casi,variazione_deceduti,variazione_dimessi_guariti
2020-03-01,Abruzzo,3,0,3,2,5,0,0,5,0.0,5,0,0
2020-03-08,Abruzzo,14,0,14,3,17,0,0,17,0.0,12,0,0
2020-03-15,Abruzzo,72,28,100,41,128,6,3,137,0.0,120,3,6
2020-03-22,Abruzzo,218,49,267,272,539,15,33,587,0.0,450,30,9
2020-03-29,Abruzzo,329,71,397,772,1169,36,88,1293,0.0,706,55,21
2020-04-05,Abruzzo,361,76,437,1006,1420,125,158,1703,0.0,410,70,89
2020-04-12,Abruzzo,346,67,406,1355,1742,206,212,2160,0.0,457,54,81
2020-04-19,Abruzzo,351,54,405,1630,1987,276,258,2521,0.0,361,46,70
2020-04-26,Abruzzo,327,38,358,1764,2108,496,295,2859,0.0,338,37,220
2020-05-03,Abruzzo,328,23,351,1679,2030,798,330,2996,0.0,137,35,302
2020-05-10,Abruzzo,301,15,316,1521,1837,1073,359,3103,0.0,107,29,275
2020-05-17,Abruzzo,231,9,240,1369,1609,1379,385,3186,0.0,83,26,306
2020-05-24,Abruzzo,191,6,197,1216,1413,1736,398,3226,0.0,40,13,357
2020-05-31,Abruzzo,149,4,152,894,1046,2064,405,3244,0.0,18,7,328
2020-06-07,Abruzzo,113,6,119,625,744,2194,418,3265,0.0,21,13,130
2020-06-14,Abruzzo,91,5,95,539,632,2312,456,3279,0.0,14,38,118
2020-06-21,Abruzzo,71,3,74,412,486,2419,459,3281,0.0,2,3,107
2020-06-28,Abruzzo,49,3,52,342,394,2540,462,3286,0.0,5,3,121
2020-07-05,Abruzzo,33,2,33,252,282,2682,464,3309,0.0,23,2,142
2020-07-12,Abruzzo,30,0,30,128,156,2713,465,3328,0.0,19,1,31
2020-07-19,Abruzzo,19,0,19,124,143,2751,468,3336,0.0,8,3,38
2020-07-26,Abruzzo,13,2,15,108,121,2777,470,3359,0.0,23,2,26
2020-08-02,Abruzzo,16,1,17,101,116,2801,472,3389,0.0,30,2,24
2020-08-09,Abruzzo,24,1,25,189,213,2817,472,3502,0.0,113,0,16
2020-08-16,Abruzzo,25,1,26,228,254,2834,472,3560,0.0,58,0,17
2020-08-23,Abruzzo,32,2,33,300,332,2844,472,3648,0.0,88,0,10
2020-08-30,Abruzzo,39,1,40,391,429,2872,472,3773,0.0,125,0,28
2020-09-06,Abruzzo,35,2,36,475,509,2910,472,3891,0.0,118,0,38
2020-09-13,Abruzzo,41,4,44,535,579,2964,472,4015,0.0,124,0,54
2020-09-20,Abruzzo,48,5,53,626,679,2984,474,4137,0.0,122,2,20
2020-09-27,Abruzzo,58,5,63,807,862,3040,478,4380,0.0,243,4,56
2020-10-04,Abruzzo,70,6,76,919,995,3101,481,4577,0.0,197,3,61
2020-10-11,Abruzzo,116,8,124,1293,1417,3153,487,5057,0.0,480,6,52
2020-10-18,Abruzzo,170,15,183,2330,2513,3187,494,6194,0.0,1137,7,34
2020-10-25,Abruzzo,245,18,263,3822,4085,3469,514,8068,0.0,1874,20,282
2020-11-01,Abruzzo,391,32,423,6210,6633,3854,554,11041,0.0,2973,40,385
2020-11-08,Abruzzo,484,43,527,8804,9331,4592,596,14519,0.0,3478,42,738
2020-11-15,Abruzzo,567,59,624,12410,13034,5469,679,19182,0.0,4663,83,877
2020-11-22,Abruzzo,676,75,749,15395,16131,6731,786,23648,0.0,4466,107,1262
2020-11-29,Abruzzo,694,77,768,17306,18040,8543,886,27469,0.0,3821,100,1812
2020-12-06,Abruzzo,714,76,790,17415,18192,12206,980,30274,19.0,2805,94,3663
2020-12-13,Abruzzo,678,73,751,15890,16641,15737,1038,32084,29.0,1810,58,3531
2020-12-20,Abruzzo,630,64,694,14188,14882,19307,1124,33471,21.0,1387,86,3570
2020-12-27,Abruzzo,555,43,598,12068,12666,21507,1173,34496,18.0,1025,49,2200
2021-01-03,Abruzzo,458,41,496,11049,11545,23299,1231,35953,21.0,1457,58,1792
2021-01-10,Abruzzo,480,41,516,11035,11541,24935,1277,37753,19.0,1800,46,1636
2021-01-17,Abruzzo,478,41,516,11071,11552,26438,1325,39315,19.0,1562,48,1503
2021-01-24,Abruzzo,454,45,497,10885,11382,28842,1393,40889,28.0,1574,68,2404
2021-01-31,Abruzzo,426,46,470,10058,10487,30892,1467,42846,21.0,1957,74,2050
2021-02-07,Abruzzo,470,51,521,10455,10976,32919,1513,45408,30.0,2562,46,2027
2021-02-14,Abruzzo,548,53,599,11049,11648,34560,1563,47771,27.0,2363,50,1641
2021-02-21,Abruzzo,586,76,662,12262,12924,36549,1620,51093,49.0,3322,57,1989
2021-02-28,Abruzzo,622,82,704,12540,13244,39523,1701,54468,41.0,3375,81,2974
2021-03-07,Abruzzo,657,87,744,12838,13565,42131,1801,57497,42.0,3029,100,2608
2021-03-14,Abruzzo,673,94,766,12695,13444,45347,1901,60088,51.0,2591,100,3216
2021-03-21,Abruzzo,685,89,772,12034,12806,49327,2016,62525,39.0,2437,115,3980
2021-03-28,Abruzzo,670,89,759,10309,11068,51801,2083,64550,28.0,2025,67,2474
2021-04-04,Abruzzo,622,78,698,10074,10728,53697,2169,66594,30.0,2044,86,1896
2021-04-11,Abruzzo,603,72,673,10050,10716,55299,2243,68002,27.0,1408,74,1602
2021-04-18,Abruzzo,569,64,633,9777,10410,56951,2333,69384,29.0,1382,90,1652
2021-04-25,Abruzzo,514,52,566,9192,9758,58998,2376,70519,10.0,1135,43,2047
2021-05-02,Abruzzo,419,45,463,8594,9057,60458,2412,71603,10.0,1084,36,1460
2021-05-09,Abruzzo,360,34,394,8218,8612,62132,2437,72516,16.0,913,25,1674
2021-05-16,Abruzzo,278,29,307,7545,7852,63820,2454,73242,6.0,726,17,1688
2021-05-23,Abruzzo,202,21,223,6654,6877,65254,2468,73689,9.0,447,14,1434
2021-05-30,Abruzzo,183,17,200,5708,5908,65986,2480,74025,3.0,336,12,732
2021-06-06,Abruzzo,137,14,150,5343,5493,66634,2491,74277,4.0,252,11,648
2021-06-13,Abruzzo,91,7,98,4477,4575,70433,2502,74464,0.0,187,11,3799
2021-06-20,Abruzzo,71,4,75,1398,1473,70844,2509,74628,0.0,164,7,411
2021-06-27,Abruzzo,43,2,45,1172,1217,71220,2512,74761,2.0,133,3,376
2021-07-04,Abruzzo,26,1,27,966,993,71526,2512,74949,0.0,188,0,306
2021-07-11,Abruzzo,29,1,30,924,954,71696,2512,75162,0.0,213,0,170
2021-07-18,Abruzzo,29,1,30,968,990,71890,2513,75393,0.0,231,1,194
2021-07-25,Abruzzo,24,1,24,1178,1202,72056,2514,75772,0.0,379,1,166
2021-08-01,Abruzzo,34,0,34,1473,1507,72247,2514,76267,0.0,495,0,190
2021-08-08,Abruzzo,43,1,44,1777,1821,72545,2515,76881,1.0,614,1,299
2021-08-15,Abruzzo,56,5,61,1971,2032,72985,2518,77535,6.0,654,3,440
2021-08-22,Abruzzo,62,12,74,2275,2348,73445,2519,78312,9.0,777,1,460
2021-08-29,Abruzzo,80,14,91,2246,2333,74119,2527,78979,3.0,667,8,674
2021-09-05,Abruzzo,89,7,96,2205,2293,74765,2533,79591,2.0,612,6,646
2021-09-12,Abruzzo,83,7,89,2160,2237,75405,2535,80177,4.0,586,2,640
2021-09-19,Abruzzo,78,7,84,2090,2172,76020,2536,80677,1.0,500,1,615
2021-09-26,Abruzzo,82,6,88,1959,2046,76584,2542,81059,1.0,382,6,564
2021-10-03,Abruzzo,62,5,67,1825,1892,77063,2545,81366,3.0,307,3,479
2021-10-10,Abruzzo,54,6,59,1613,1672,77581,2549,81624,2.0,258,4,518
2021-10-17,Abruzzo,53,6,58,1374,1427,77919,2553,81892,0.0,268,4,338
2021-10-24,Abruzzo,56,6,62,1489,1551,78255,2559,82365,3.0,473,6,336
2021-10-31,Abruzzo,64,11,74,1862,1927,78512,2562,83001,6.0,636,3,257
2021-11-07,Abruzzo,70,9,77,2325,2400,78786,2565,83751,3.0,750,3,274
2021-11-14,Abruzzo,82,11,91,2898,2983,79259,2567,84809,8.0,1058,2,473
2021-11-21,Abruzzo,90,13,101,3620,3716,79830,2578,86124,3.0,1315,11,571
2021-11-28,Abruzzo,106,9,115,4196,4311,80566,2586,87463,6.0,1339,8,736
2021-12-05,Abruzzo,115,10,123,4958,5080,81460,2599,89139,7.0,1676,13,894
2021-12-12,Abruzzo,124,13,135,5627,5762,82495,2609,90866,11.0,1727,10,1035
2021-12-19,Abruzzo,132,18,149,6833,6982,83678,2617,93277,10.0,2411,8,1183
2021-12-26,Abruzzo,144,21,165,8940,9105,84883,2629,96617,14.0,3340,12,1205
2022-01-02,Abruzzo,184,24,206,21794,22000,87087,2642,111729,11.0,15112,13,2204
2022-01-09,Abruzzo,291,27,318,48042,48360,89515,2670,140545,16.0,28816,28,2428
2022-01-16,Abruzzo,386,41,424,68654,69078,94661,2699,166438,33.0,25893,29,5146
2022-01-23,Abruzzo,418,40,458,91166,91614,97243,2748,191605,24.0,25167,49,2582
2022-01-30,Abruzzo,419,41,456,111176,111624,99532,2807,213963,21.0,22358,59,2289
2022-02-06,Abruzzo,501,36,535,118186,118707,110169,2836,231001,14.0,17038,29,10637
2022-02-13,Abruzzo,535,34,563,115289,115833,134311,2881,243678,7.0,12677,45,24142
2022-02-20,Abruzzo,492,25,517,107060,107575,158264,2922,254196,8.0,10518,41,23953
2022-02-27,Abruzzo,437,17,454,91314,91768,160141,2927,254836,1.0,640,5,1877
2020-03-01,Basilicata,0,0,0,0,0,0,0,0,0.0,0,0,0
2020-03-08,Basilicata,2,0,2,2,4,0,0,4,0.0,4,0,0
2020-03-15,Basilicata,2,2,2,9,11,0,0,11,0.0,7,0,0
2020-03-22,Basilicata,13,10,23,58,81,0,0,81,0.0,70,0,0
2020-03-29,Basilicata,32,19,50,147,197,1,4,202,0.0,121,4,1
2020-04-05,Basilicata,46,19,64,190,254,11,13,278,0.0,76,9,10
2020-04-12,Basilicata,61,18,74,209,281,20,18,315,0.0,37,5,9
2020-04-19,Basilicata,64,12,76,204,273,71,24,342,0.0,27,6,51
2020-04-26,Basilicata,65,7,72,176,245,122,25,366,0.0,24,1,51
2020-05-03,Basilicata,57,7,64,153,217,167,25,386,0.0,20,0,45
2020-05-10,Basilicata,50,3,53,124,177,215,27,399,0.0,-1,2,48
2020-05-17,Basilicata,47,1,48,95,142,261,27,392,0.0,7,0,46
2020-05-24,Basilicata,29,1,30,63,93,333,27,399,0.0,7,0,72
2020-05-31,Basilicata,13,0,13,29,36,343,27,399,0.0,0,0,10
2020-06-07,Basilicata,4,0,4,24,28,358,27,399,0.0,0,0,15
2020-06-14,Basilicata,1,1,1,13,14,363,27,401,0.0,2,0,5
2020-06-21,Basilicata,1,1,1,10,11,366,27,401,0.0,0,0,3
2020-06-28,Basilicata,1,0,1,7,8,372,27,401,0.0,0,0,6
2020-07-05,Basilicata,1,0,1,4,4,373,27,404,0.0,3,0,1
2020-07-12,Basilicata,3,0,3,4,5,374,27,406,0.0,2,0,1
2020-07-19,Basilicata,3,0,3,5,7,374,28,408,0.0,2,1,-1
2020-07-26,Basilicata,2,0,2,44,46,374,28,448,0.0,40,0,1
2020-08-02,Basilicata,2,0,2,49,51,374,28,453,0.0,5,0,0
2020-08-09,Basilicata,2,0,2,73,75,374,28,476,0.0,23,0,-1
2020-08-16,Basilicata,0,0,0,73,73,392,28,486,0.0,9,0,19
2020-08-23,Basilicata,1,0,1,73,73,403,28,502,0.0,17,0,11
2020-08-30,Basilicata,2,1,2,86,88,408,28,524,0.0,22,0,5
2020-09-06,Basilicata,4,1,5,118,123,413,28,564,0.0,40,0,5
2020-09-13,Basilicata,5,1,6,150,156,429,28,613,0.0,49,0,16
2020-09-20,Basilicata,6,1,7,159,166,443,28,637,0.0,24,0,14
2020-09-27,Basilicata,14,1,15,252,266,468,29,763,0.0,126,1,25
2020-10-04,Basilicata,15,2,17,373,390,497,33,920,0.0,157,4,29
2020-10-11,Basilicata,36,2,36,449,485,527,35,1047,0.0,127,2,30
2020-10-18,Basilicata,43,0,43,637,680,555,39,1274,0.0,227,4,28
2020-10-25,Basilicata,54,5,58,955,1013,639,44,1696,0.0,422,5,84
2020-11-01,Basilicata,86,11,97,1498,1595,705,49,2349,0.0,653,5,66
2020-11-08,Basilicata,102,16,118,2536,2654,805,64,3523,0.0,1174,15,100
2020-11-15,Basilicata,155,26,181,3788,3969,931,79,4979,0.0,1456,15,126
2020-11-22,Basilicata,157,30,181,5153,5332,1128,110,6570,0.0,1591,31,197
2020-11-29,Basilicata,160,25,180,6016,6182,1723,145,8050,0.0,1480,35,595
2020-12-06,Basilicata,165,22,185,6259,6444,2397,175,8940,0.0,890,30,674
2020-12-13,Basilicata,124,16,140,6253,6393,3003,202,9425,6.0,485,27,606
2020-12-20,Basilicata,114,12,126,6042,6159,3804,220,10029,2.0,604,18,801
2020-12-27,Basilicata,98,9,104,5866,5965,4280,242,10481,4.0,452,22,476
2021-01-03,Basilicata,97,6,100,6091,6191,4649,262,11102,2.0,621,20,369
2021-01-10,Basilicata,95,4,99,6552,6637,4967,275,11879,3.0,777,13,318
2021-01-17,Basilicata,94,6,98,6829,6918,5290,293,12501,3.0,622,18,323
2021-01-24,Basilicata,89,6,93,6881,6969,5631,311,12842,4.0,341,18,341
2021-01-31,Basilicata,86,6,92,6875,6960,7481,326,13231,4.0,389,15,1850
2021-02-07,Basilicata,84,2,86,4881,4954,10054,340,13686,2.0,455,14,2573
2021-02-14,Basilicata,82,6,87,3378,3450,10449,352,14251,6.0,565,12,395
2021-02-21,Basilicata,79,7,83,3496,3578,10902,365,14845,3.0,594,13,453
2021-02-28,Basilicata,87,10,95,3937,4032,11232,371,15635,7.0,790,6,330
2021-03-07,Basilicata,101,13,113,4136,4247,12425,379,16589,5.0,954,8,1193
2021-03-14,Basilicata,144,16,160,3931,4091,12971,387,17449,6.0,860,8,546
2021-03-21,Basilicata,167,17,180,4295,4470,13476,412,18358,6.0,909,25,505
2021-03-28,Basilicata,159,15,172,4637,4808,13904,436,19148,10.0,790,24,428
2021-04-04,Basilicata,180,14,193,4837,5022,14544,452,20018,4.0,870,16,640
2021-04-11,Basilicata,179,13,191,4952,5143,15357,484,20984,6.0,966,32,813
2021-04-18,Basilicata,177,15,190,5616,5799,15911,497,22207,7.0,1223,13,554
2021-04-25,Basilicata,172,13,182,5944,6120,16655,513,23288,5.0,1081,16,744
2021-05-02,Basilicata,168,10,176,6125,6292,17412,536,24232,5.0,944,23,757
